,Actual Values,Predicted Values,Gender,Age Group,Year In,Month In,Year Out,Month Out,Country_Code
422767,0,0,1,7,2019,7,2019,7,5
246690,0,1,2,4,2019,3,2019,3,5
484194,0,0,2,4,2020,1,2020,1,6
497933,0,0,1,7,2017,9,2017,9,5
437399,0,0,1,7,2019,8,2019,8,7
75124,1,0,1,7,2018,4,2018,4,2
364999,0,0,2,3,2019,5,2019,5,7
318592,1,0,1,7,2019,5,2019,5,7
518213,0,1,2,3,2018,3,2018,3,5
344077,0,0,1,4,2019,5,2019,5,2
180130,1,1,1,4,2018,12,2018,12,2
470044,0,0,1,7,2019,11,2019,11,7
191021,0,1,2,7,2018,12,2018,12,2
64105,0,0,2,4,2018,2,2018,2,5
448547,0,0,1,7,2019,9,2019,9,7
561726,0,0,1,5,2019,7,2019,7,7
213169,0,1,1,7,2019,2,2019,2,1
358818,1,1,1,6,2019,5,2019,6,5
555924,1,0,2,4,2019,4,2019,4,7
333979,1,0,2,4,2019,5,2019,5,2
311138,0,1,2,5,2019,4,2019,5,5
505027,0,1,1,2,2017,12,2017,12,7
511365,1,0,1,3,2018,1,2018,1,2
51798,1,0,1,1,2017,12,2017,12,2
235022,1,1,1,3,2019,2,2019,3,5
463463,0,0,1,5,2019,10,2019,10,7
439952,0,0,2,4,2019,8,2019,8,2
348443,1,1,2,5,2019,5,2019,5,5
439306,1,0,2,6,2019,8,2019,8,2
90096,1,0,2,7,2018,5,2018,5,2
355049,0,0,2,4,2019,5,2019,5,4
537552,1,0,1,3,2018,9,2018,9,7
244869,1,1,1,7,2019,3,2019,3,2
395216,1,0,1,6,2019,6,2019,6,2
173708,0,1,1,7,2018,12,2018,12,2
187565,1,1,1,5,2018,12,2018,12,2
290427,0,0,2,4,2019,4,2019,4,2
349456,0,0,2,3,2019,5,2019,5,2
231533,1,0,2,2,2019,2,2019,2,5
151650,1,1,1,4,2018,10,2018,11,5
272148,1,1,2,4,2019,3,2019,4,5
217775,0,0,1,2,2019,2,2019,2,5
85332,1,0,1,7,2018,5,2018,5,2
505380,1,1,1,3,2017,12,2017,12,7
128372,1,1,1,5,2018,9,2018,9,2
321553,1,1,1,7,2019,5,2019,5,2
323887,1,1,1,3,2019,5,2019,5,2
72596,0,0,1,7,2018,3,2018,3,2
204628,0,0,2,7,2019,1,2019,1,5
88099,0,0,1,7,2018,5,2018,5,2
388708,0,0,2,7,2019,6,2019,6,5
140118,1,1,1,4,2018,10,2018,10,9
59222,0,0,1,6,2018,2,2018,2,5
436238,0,1,1,3,2019,8,2019,8,1
307660,0,1,1,7,2019,4,2019,4,2
408903,1,0,1,5,2019,7,2019,7,5
475652,0,0,1,7,2019,12,2019,12,2
69417,0,0,1,7,2018,3,2018,3,5
111582,0,1,1,7,2018,7,2018,7,2
336647,1,0,2,4,2019,5,2019,5,2
413429,1,0,1,2,2019,7,2019,7,5
480422,0,0,1,7,2019,12,2019,12,5
148626,0,0,1,7,2018,10,2018,10,5
192365,1,1,1,1,2018,12,2019,1,5
431049,0,0,2,4,2019,7,2019,7,5
423300,1,0,2,4,2019,7,2019,7,5
553325,0,0,1,5,2019,3,2019,3,7
305207,0,0,2,4,2019,4,2019,4,5
365290,1,1,1,6,2019,5,2019,6,1
417583,1,0,2,5,2019,7,2019,7,12
25445,0,0,1,7,2017,8,2017,9,1
24630,0,0,2,6,2017,8,2017,8,7
184637,1,1,2,6,2018,12,2018,12,5
170852,1,1,2,6,2018,11,2018,11,2
419184,1,0,1,3,2019,7,2019,7,2
126484,1,1,2,7,2018,9,2018,9,2
73207,1,1,1,1,2018,3,2018,4,2
387657,0,0,1,5,2019,6,2019,6,5
48823,0,0,1,2,2017,12,2017,12,5
151885,0,1,1,5,2018,10,2018,10,5
298849,1,1,1,7,2019,4,2019,4,2
496122,0,0,2,5,2017,8,2017,8,14
66416,0,0,1,7,2018,3,2018,3,5
553936,0,0,1,4,2019,3,2019,3,86
78517,1,0,2,2,2018,4,2018,4,2
158459,0,0,2,7,2018,11,2018,11,2
8929,0,0,2,5,2017,4,2017,4,9
227979,0,1,1,7,2019,2,2019,2,2
573903,0,0,1,4,2019,11,2019,11,5
412870,0,0,2,4,2019,7,2019,7,2
134703,1,1,2,6,2018,9,2018,10,2
37709,0,0,2,1,2017,11,2017,11,2
276393,0,1,1,7,2019,4,2019,4,5
66560,1,0,1,4,2018,3,2018,3,10
466089,0,0,1,7,2019,10,2019,10,7
216754,1,1,2,7,2019,2,2019,2,2
539282,1,0,1,2,2018,10,2018,10,57
332549,1,0,2,2,2019,5,2019,5,4
304562,1,1,1,7,2019,4,2019,4,2
160519,1,1,1,7,2018,11,2018,11,2
258099,1,1,1,2,2019,3,2019,3,2
48771,0,0,2,7,2017,12,2017,12,2
293284,0,0,1,1,2019,4,2019,4,2
484313,0,0,2,3,2020,1,2020,1,5
12441,0,0,2,7,2017,5,2017,5,2
85649,0,0,1,7,2018,5,2018,5,5
310370,1,1,1,4,2019,4,2019,5,2
205341,0,0,1,7,2019,1,2019,1,2
353928,0,1,1,3,2019,5,2019,5,1
486308,0,0,1,7,2020,1,2020,1,4
223838,1,1,1,3,2019,2,2019,2,2
411689,0,0,2,7,2019,7,2019,7,2
302062,1,1,2,6,2019,4,2019,4,5
573104,0,0,1,5,2019,11,2019,11,7
508960,0,0,2,6,2018,1,2018,1,7
517765,0,1,2,5,2018,3,2018,3,5
110768,0,1,2,5,2018,7,2018,7,5
55384,0,0,1,7,2018,1,2018,1,5
168628,1,1,1,7,2018,11,2018,11,2
312020,0,1,2,5,2019,4,2019,5,5
354943,1,1,1,5,2019,5,2019,5,2
533964,1,0,1,6,2018,8,2018,8,7
311971,1,1,1,5,2019,4,2019,5,2
402456,0,0,1,7,2019,6,2019,6,7
163883,0,1,1,7,2018,11,2018,11,2
300757,0,1,1,7,2019,4,2019,4,9
284660,1,0,1,7,2019,4,2019,4,7
179226,1,1,1,2,2018,12,2018,12,5
419836,0,0,1,3,2019,7,2019,7,5
504610,0,0,1,7,2017,12,2017,12,4
313747,1,1,1,7,2019,5,2019,5,5
192302,1,1,2,6,2018,12,2019,1,5
119584,1,1,2,5,2018,8,2018,8,2
224047,1,1,1,2,2019,2,2019,2,2
303212,0,1,2,7,2019,4,2019,4,2
400183,0,0,2,6,2019,6,2019,6,2
377591,1,0,1,7,2019,6,2019,6,4
566467,0,0,1,7,2019,8,2019,8,7
86361,0,0,1,7,2018,5,2018,5,2
409245,1,0,1,7,2019,7,2019,7,5
128769,0,1,1,2,2018,9,2018,9,2
48338,0,0,1,4,2017,12,2017,12,5
469575,0,0,1,7,2019,11,2019,11,7
73730,0,0,1,7,2018,4,2018,4,2
7145,0,0,2,7,2017,3,2017,3,1
64174,0,0,2,7,2018,2,2018,2,2
344603,0,0,2,4,2019,5,2019,5,2
353026,1,0,2,1,2019,5,2019,5,5
213714,1,1,2,5,2019,2,2019,2,2
97525,1,1,2,7,2018,6,2018,6,1
547636,0,1,1,4,2019,1,2019,1,1
230833,1,1,1,3,2019,2,2019,2,2
162681,0,1,1,7,2018,11,2018,11,1
504661,1,1,1,2,2017,11,2017,12,57
551429,0,0,1,3,2019,2,2019,2,86
110087,1,1,1,7,2018,7,2018,7,2
576091,1,0,1,3,2019,12,2019,12,7
298089,0,0,2,2,2019,4,2019,4,1
148808,0,1,2,7,2018,10,2018,10,5
433541,1,0,1,5,2019,8,2019,8,5
7099,0,0,1,7,2017,3,2017,3,2
363543,0,1,2,5,2019,5,2019,5,1
24729,0,0,2,6,2017,8,2017,8,2
118483,1,0,1,7,2018,8,2018,8,2
562260,0,0,2,5,2019,7,2019,7,27
164293,0,1,2,6,2018,11,2018,11,5
125063,1,1,2,6,2018,9,2018,9,5
180193,1,1,2,3,2018,12,2018,12,5
54697,0,0,1,6,2018,1,2018,1,5
347472,0,1,1,3,2019,5,2019,5,2
247157,1,1,2,4,2019,3,2019,3,2
444983,0,0,1,6,2019,8,2019,8,5
224691,1,1,2,7,2019,2,2019,2,2
520936,0,0,1,7,2018,4,2018,4,5
392076,1,0,1,5,2019,6,2019,6,1
62864,0,0,2,7,2018,2,2018,2,2
149614,1,1,2,7,2018,10,2018,10,2
180715,1,1,2,2,2018,12,2018,12,2
1076,0,0,1,7,2017,1,2017,1,1
562759,0,0,2,7,2019,7,2019,7,5
203490,1,0,2,7,2019,1,2019,1,2
428854,0,0,1,7,2019,7,2019,7,7
535660,0,0,2,3,2018,8,2018,8,7
470341,0,0,1,7,2019,11,2019,11,7
330244,1,1,1,1,2019,5,2019,5,5
258703,1,1,1,6,2019,3,2019,3,5
176808,0,1,1,3,2018,12,2018,12,2
383837,0,0,2,2,2019,6,2019,6,2
409264,1,0,2,3,2019,7,2019,7,5
427115,1,1,1,3,2019,7,2019,8,12
156030,1,1,1,3,2018,11,2018,11,2
175628,1,1,2,5,2018,12,2018,12,2
477567,1,0,1,2,2019,12,2019,12,7
503113,0,0,2,3,2017,11,2017,11,7
91310,0,0,1,7,2018,5,2018,5,2
21970,0,0,1,7,2017,8,2017,8,2
337421,1,1,2,4,2019,5,2019,5,5
123755,1,1,1,3,2018,8,2018,9,5
